Name,Email,Age,"Feeling nervous, anxious or on edge",Not being able to stop or control worrying,Worrying too much about different things,Trouble relaxing,Being so restless that it is hard to sit still,Becoming easily annoyed or irritable,Feeling afraid as if something awful might happen,Feeling tired or having little energy,Poor appetite or overeating,Feeling bad about yourself—or that you are a failure,Trouble concentrating on things,Moving or speaking so slowly that other people could have noticed,Thoughts that you would be better off dead or of hurting yourself in some way,Anxiety_Score,Stress_Score,Anxiety_Level,Stress_Level
Gabriel Wu,mcdowellalan@example.net,17,Several days,Nearly every day,Several days,More than half the days,More than half the days,More than half the days,Not at all,Nearly every day,Not at all,Several days,Several days,Several days,Not at all,11,18,High,High
Michael Stone,millerjack@example.com,19,Several days,Nearly every day,Several days,Several days,Nearly every day,Nearly every day,More than half the days,Not at all,Several days,More than half the days,More than half the days,More than half the days,Nearly every day,14,14,High,High
Elizabeth Bryant,cblackwell@example.com,19,Several days,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,Several days,More than half the days,Several days,Nearly every day,Not at all,16,11,High,High
Rebecca Herman,maryjohnson@example.com,17,Nearly every day,Nearly every day,More than half the days,More than half the days,More than half the days,Not at all,Not at all,Not at all,Several days,Nearly every day,More than half the days,Nearly every day,Nearly every day,12,15,High,High
Ruben Mckenzie,ssmith@example.com,17,Several days,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,Nearly every day,Not at all,Nearly every day,Not at all,Several days,14,11,High,High
Jacob Davenport,tonynelson@example.com,21,Nearly every day,More than half the days,Nearly every day,Nearly every day,Several days,Several days,Nearly every day,More than half the days,More than half the days,Not at all,More than half the days,More than half the days,Nearly every day,16,14,High,High
Marco Marquez,lisa71@example.org,18,Nearly every day,Several days,Nearly every day,Nearly every day,More than half the days,More than half the days,More than half the days,Nearly every day,More than half the days,Nearly every day,More than half the days,Not at all,More than half the days,16,14,High,High
David Adams,derekgallagher@example.com,20,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,More than half the days,Several days,Nearly every day,19,16,High,High
John Peters,hbarrera@example.net,21,Nearly every day,More than half the days,Several days,Nearly every day,Nearly every day,More than half the days,Nearly every day,More than half the days,More than half the days,Not at all,More than half the days,Several days,Several days,17,12,High,High
Jake Donaldson,vgomez@example.com,17,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Nearly every day,More than half the days,Several days,More than half the days,Several days,Not at all,Several days,19,12,High,High
Bryan Middleton Jr.,robyn23@example.net,18,Several days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Not at all,More than half the days,More than half the days,Several days,Nearly every day,19,12,High,High
Paul Martin,gparker@example.org,17,Several days,Nearly every day,Nearly every day,Nearly every day,Several days,Not at all,Not at all,Several days,Not at all,More than half the days,Several days,Not at all,More than half the days,11,16,High,High
Glenda Williams,ilittle@example.com,19,More than half the days,More than half the days,Nearly every day,Several days,Nearly every day,Nearly every day,Not at all,Nearly every day,Not at all,Not at all,Several days,Not at all,Several days,14,12,High,High
Joseph Murray,diane59@example.org,17,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,21,11,High,High
James Juarez,brucemark@example.com,19,Not at all,More than half the days,Nearly every day,More than half the days,Several days,Nearly every day,Nearly every day,Several days,More than half the days,Several days,Nearly every day,Not at all,Several days,14,14,High,High
Tasha Thompson,tmcguire@example.com,20,Nearly every day,Several days,Nearly every day,More than half the days,More than half the days,Nearly every day,Not at all,Nearly every day,Nearly every day,Several days,More than half the days,More than half the days,Nearly every day,14,17,High,High
Sherri Roberts,colonsarah@example.net,18,More than half the days,Not at all,Several days,More than half the days,More than half the days,Nearly every day,More than half the days,Nearly every day,Nearly every day,Not at all,More than half the days,Not at all,More than half the days,12,11,High,High
Madeline Richardson,qclark@example.net,20,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Not at all,Nearly every day,Not at all,Not at all,Not at all,Not at all,18,17,High,High
Shawn Frye,garyarnold@example.com,19,Nearly every day,More than half the days,More than half the days,Nearly every day,Nearly every day,Nearly every day,More than half the days,Several days,Several days,More than half the days,Several days,Not at all,Several days,18,16,High,High
Todd Cabrera,ularson@example.net,19,Not at all,Nearly every day,More than half the days,Several days,Nearly every day,More than half the days,Not at all,Not at all,Nearly every day,Nearly every day,More than half the days,More than half the days,More than half the days,11,12,High,High
Timothy Baldwin,carriebrewer@example.net,20,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Not at all,Not at all,Several days,More than half the days,More than half the days,20,16,High,High
Richard Torres,markstewart@example.org,17,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,Several days,Several days,Several days,21,17,High,High
Victoria Farley,vtaylor@example.org,17,Nearly every day,Nearly every day,Several days,Nearly every day,More than half the days,Several days,Nearly every day,Not at all,Nearly every day,Nearly every day,Several days,Nearly every day,More than half the days,16,12,High,High
Kyle Meadows,brooksdiana@example.org,17,Nearly every day,Nearly every day,Not at all,Nearly every day,Nearly every day,Several days,Nearly every day,More than half the days,More than half the days,Nearly every day,More than half the days,Not at all,Several days,16,11,High,High
Ricky Perry,smithisaiah@example.org,21,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Several days,Nearly every day,More than half the days,Nearly every day,Nearly every day,18,11,High,High
Donna Bryant,wilsonsteven@example.com,17,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Several days,Nearly every day,Several days,Several days,Several days,20,18,High,High
James Armstrong,johnsonmonique@example.org,21,More than half the days,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Not at all,More than half the days,More than half the days,Several days,Several days,18,12,High,High
Christina Robinson,mpatel@example.com,17,Several days,More than half the days,Several days,Not at all,Nearly every day,Several days,Nearly every day,Not at all,Several days,Nearly every day,Several days,Not at all,Nearly every day,11,18,High,High
Jordan Price,zroberts@example.net,18,Several days,Nearly every day,More than half the days,Several days,Not at all,Nearly every day,Several days,Not at all,Several days,Nearly every day,Several days,Nearly every day,Several days,11,14,High,High
Emily Becker,sheena33@example.com,21,Several days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,More than half the days,Nearly every day,More than half the days,More than half the days,More than half the days,Not at all,17,20,High,High
Tammy Swanson,stevenharris@example.org,17,Not at all,Nearly every day,Nearly every day,Several days,More than half the days,Nearly every day,More than half the days,More than half the days,Several days,Several days,Several days,Several days,More than half the days,14,12,High,High
Kara Brown,jonathon68@example.net,18,More than half the days,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Nearly every day,Several days,Several days,Nearly every day,Nearly every day,19,14,High,High
Sarah Kelly,jimenezdaniel@example.org,20,Nearly every day,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,Nearly every day,Several days,20,20,High,High
Jared Barr,nicolenelson@example.net,18,Nearly every day,Nearly every day,Nearly every day,More than half the days,Several days,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,Not at all,Several days,18,14,High,High
Emily Irwin,kimberlyhughes@example.net,19,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Nearly every day,Not at all,More than half the days,More than half the days,Nearly every day,Not at all,18,21,High,High
Robert Jones,murrayallison@example.org,18,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,More than half the days,Not at all,Not at all,Nearly every day,Nearly every day,21,20,High,High
Robert Meadows,allisonstrickland@example.com,17,More than half the days,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,Several days,Not at all,More than half the days,Several days,Not at all,More than half the days,19,11,High,High
Kayla Barnes,judithroth@example.net,21,Not at all,More than half the days,Nearly every day,Several days,Nearly every day,More than half the days,Several days,Not at all,Nearly every day,Not at all,Nearly every day,Not at all,Not at all,12,14,High,High
Kristy Hickman,fmedina@example.com,21,Nearly every day,More than half the days,Nearly every day,Nearly every day,Several days,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,More than half the days,Several days,Not at all,17,15,High,High
Philip Gomez,urobbins@example.com,20,Several days,Several days,Not at all,Nearly every day,More than half the days,Nearly every day,Several days,Not at all,More than half the days,More than half the days,Several days,Nearly every day,More than half the days,11,19,High,High
Laura Davis,benjamin05@example.com,20,Nearly every day,More than half the days,Nearly every day,Nearly every day,Several days,Nearly every day,More than half the days,More than half the days,Several days,Several days,More than half the days,More than half the days,Nearly every day,17,12,High,High
Michelle Underwood,akim@example.net,19,Nearly every day,Nearly every day,Several days,Not at all,Several days,Not at all,Nearly every day,Not at all,More than half the days,Nearly every day,Nearly every day,Several days,More than half the days,11,15,High,High
John Brown,jowarner@example.org,21,Nearly every day,Several days,Not at all,Several days,More than half the days,Several days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,More than half the days,Nearly every day,11,16,High,High
Sarah Mitchell,katherine82@example.net,17,More than half the days,More than half the days,More than half the days,More than half the days,Nearly every day,Not at all,More than half the days,Not at all,Nearly every day,Several days,Not at all,Nearly every day,Not at all,13,12,High,High
James Dominguez,rachelgardner@example.org,21,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,More than half the days,Several days,Not at all,Not at all,Nearly every day,Nearly every day,Nearly every day,More than half the days,17,19,High,High
Alejandro Boyer,davidsonpatricia@example.net,21,Nearly every day,Nearly every day,Several days,Nearly every day,Nearly every day,Several days,Not at all,Nearly every day,Not at all,Nearly every day,More than half the days,Several days,More than half the days,14,12,High,High
Audrey Rodriguez,rodriguezcurtis@example.com,19,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,More than half the days,More than half the days,Several days,Nearly every day,More than half the days,21,14,High,High
Tiffany Smith,perrymichael@example.com,17,Nearly every day,Nearly every day,More than half the days,Several days,Nearly every day,Nearly every day,Nearly every day,Not at all,Not at all,Not at all,Nearly every day,More than half the days,More than half the days,18,18,High,High
Alicia Vazquez,murraymark@example.net,21,Nearly every day,More than half the days,Nearly every day,Nearly every day,Several days,Several days,More than half the days,Not at all,Several days,More than half the days,More than half the days,Not at all,More than half the days,15,12,High,High
Kyle Lucas,sheltoncarl@example.net,20,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,More than half the days,Not at all,Several days,Nearly every day,Not at all,Nearly every day,More than half the days,18,16,High,High
Stephanie Webb,jill54@example.org,19,Nearly every day,Nearly every day,More than half the days,Not at all,More than half the days,Not at all,More than half the days,Not at all,Nearly every day,Nearly every day,Several days,Several days,Several days,12,16,High,High
Virginia Powell,cpowell@example.com,21,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,Nearly every day,More than half the days,Not at all,More than half the days,Not at all,Several days,Several days,More than half the days,19,14,High,High
Melinda Walters,danasmith@example.com,19,Nearly every day,Nearly every day,Several days,Nearly every day,More than half the days,Nearly every day,Several days,More than half the days,Not at all,Several days,Several days,Nearly every day,Nearly every day,16,20,High,High
Cynthia Ortiz,jaime22@example.com,21,More than half the days,More than half the days,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,Not at all,Nearly every day,Several days,Several days,17,21,High,High
Brandy Bradford,joseph52@example.net,18,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Several days,Nearly every day,Several days,Nearly every day,Nearly every day,Nearly every day,Several days,More than half the days,17,18,High,High
Natasha Page,kaitlynharvey@example.com,21,Several days,Nearly every day,More than half the days,Not at all,Several days,Nearly every day,More than half the days,More than half the days,More than half the days,Nearly every day,Several days,More than half the days,More than half the days,12,19,High,High
Sara Montgomery,mary60@example.org,20,Several days,Nearly every day,More than half the days,More than half the days,More than half the days,Several days,Not at all,Nearly every day,More than half the days,Several days,More than half the days,More than half the days,Nearly every day,11,19,High,High
Mrs. Brittany Arellano PhD,misty28@example.org,19,More than half the days,Several days,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,Not at all,Nearly every day,Nearly every day,Not at all,Not at all,Several days,16,14,High,High
Monica Bass,ssingh@example.com,20,Nearly every day,Nearly every day,Nearly every day,Not at all,Nearly every day,Nearly every day,Several days,Not at all,Nearly every day,Nearly every day,Several days,Nearly every day,Not at all,16,15,High,High
Brandon Harmon,holttravis@example.net,18,Several days,Nearly every day,Several days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,More than half the days,More than half the days,More than half the days,Several days,More than half the days,17,11,High,High
James Alexander,camachodavid@example.com,20,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,Several days,More than half the days,Not at all,Nearly every day,Not at all,More than half the days,20,16,High,High
Maria Adams,silvachristopher@example.org,19,Nearly every day,Several days,Several days,Nearly every day,Nearly every day,Several days,Nearly every day,Nearly every day,Several days,Not at all,Not at all,Not at all,Several days,15,12,High,High
James Carter,richard35@example.com,20,Not at all,More than half the days,Not at all,Nearly every day,Nearly every day,Nearly every day,More than half the days,Several days,Not at all,Not at all,Several days,Several days,Nearly every day,13,15,High,High
James Butler,gramirez@example.org,18,More than half the days,Not at all,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,16,13,High,High
Molly Combs,david40@example.com,20,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,Several days,More than half the days,Nearly every day,Nearly every day,Several days,Several days,Nearly every day,Nearly every day,16,21,High,High
Sharon Gomez,lori13@example.net,19,Nearly every day,Nearly every day,Several days,More than half the days,More than half the days,Not at all,More than half the days,Several days,Nearly every day,More than half the days,More than half the days,More than half the days,Not at all,13,13,High,High
Lisa Moreno,ecox@example.org,20,Nearly every day,Nearly every day,More than half the days,Nearly every day,Not at all,More than half the days,Not at all,More than half the days,Several days,Not at all,Several days,Not at all,Several days,13,14,High,High
William Nash Jr.,anthony84@example.org,19,Several days,Several days,More than half the days,More than half the days,More than half the days,More than half the days,Several days,Not at all,Nearly every day,Nearly every day,Not at all,More than half the days,Several days,11,15,High,High
Kenneth Chen,christopher32@example.net,21,Nearly every day,Nearly every day,Several days,More than half the days,More than half the days,Nearly every day,Not at all,Not at all,More than half the days,More than half the days,Several days,Not at all,Several days,14,16,High,High
Rebecca Gonzalez,nhenderson@example.com,19,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,More than half the days,More than half the days,More than half the days,Several days,Nearly every day,Nearly every day,Not at all,17,20,High,High
Lisa Miller,stephaniesnyder@example.org,20,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Several days,Not at all,Not at all,Several days,Not at all,21,11,High,High
Melissa Higgins,davidprice@example.net,21,Nearly every day,Several days,Nearly every day,Nearly every day,Nearly every day,More than half the days,Several days,More than half the days,Not at all,Nearly every day,Not at all,Nearly every day,Nearly every day,16,17,High,High
Cassandra Stewart,andrew24@example.com,18,Nearly every day,Nearly every day,Nearly every day,Several days,More than half the days,More than half the days,Several days,Not at all,Not at all,Nearly every day,Several days,More than half the days,Several days,15,21,High,High
Kyle Romero,timothyharris@example.net,18,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,Nearly every day,Not at all,Nearly every day,Nearly every day,Not at all,18,12,High,High
Amy Buckley,zlopez@example.net,18,Several days,Not at all,Nearly every day,Several days,More than half the days,More than half the days,Nearly every day,Not at all,Not at all,Several days,More than half the days,Several days,More than half the days,12,11,High,High
Angela Ho,jtrevino@example.org,20,Several days,Several days,Nearly every day,Nearly every day,Nearly every day,Several days,More than half the days,Not at all,Not at all,Several days,More than half the days,Several days,More than half the days,14,17,High,High
Christina Shannon,nathanhampton@example.net,17,Not at all,Nearly every day,More than half the days,Several days,More than half the days,Nearly every day,Not at all,Several days,More than half the days,Several days,Nearly every day,Several days,Nearly every day,11,16,High,High
April Webb,babbott@example.com,19,Not at all,Nearly every day,Nearly every day,Several days,Several days,Not at all,Nearly every day,Several days,Nearly every day,Several days,Nearly every day,Nearly every day,Nearly every day,11,16,High,High
Ryan Spencer,pmcclain@example.com,17,More than half the days,Not at all,More than half the days,More than half the days,More than half the days,Nearly every day,Not at all,Not at all,Several days,Not at all,Nearly every day,Several days,Nearly every day,11,20,High,High
Mary Salazar,jose89@example.org,20,Several days,Several days,Several days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Not at all,Nearly every day,More than half the days,More than half the days,Not at all,15,21,High,High
Jason Richardson,zbailey@example.net,18,Several days,Nearly every day,More than half the days,More than half the days,More than half the days,Not at all,Nearly every day,Several days,Several days,More than half the days,Nearly every day,More than half the days,Several days,13,20,High,High
Michelle Cannon,taylorkevin@example.org,18,Nearly every day,Nearly every day,More than half the days,More than half the days,Nearly every day,More than half the days,Nearly every day,Several days,Nearly every day,More than half the days,More than half the days,Not at all,Nearly every day,18,13,High,High
Christopher Richardson,marydrake@example.net,18,Nearly every day,Nearly every day,Nearly every day,Not at all,Several days,Nearly every day,Several days,More than half the days,More than half the days,More than half the days,Not at all,Nearly every day,Nearly every day,14,11,High,High
Michael Brown,uobrien@example.com,18,Not at all,Several days,Several days,Nearly every day,Nearly every day,More than half the days,More than half the days,Nearly every day,Nearly every day,More than half the days,More than half the days,More than half the days,More than half the days,12,20,High,High
Cameron Evans,uandrews@example.net,21,Nearly every day,Nearly every day,Nearly every day,Several days,More than half the days,More than half the days,Nearly every day,Several days,More than half the days,Several days,Several days,Several days,Nearly every day,17,16,High,High
Linda Diaz,simpsondavid@example.com,17,More than half the days,More than half the days,Nearly every day,Nearly every day,More than half the days,Several days,Several days,More than half the days,Nearly every day,Several days,Nearly every day,Several days,Several days,14,18,High,High
Suzanne Dougherty,alishaowens@example.org,21,More than half the days,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,Several days,More than half the days,Several days,Nearly every day,Not at all,Not at all,More than half the days,16,21,High,High
Veronica Brooks,deborahclark@example.org,20,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,Not at all,Nearly every day,Not at all,Not at all,Not at all,20,12,High,High
Joseph Ayala,roberthorton@example.net,19,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Not at all,Several days,Not at all,Not at all,Not at all,More than half the days,Not at all,More than half the days,15,12,High,High
Jennifer Jones,baldwintracy@example.org,18,Several days,Nearly every day,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Nearly every day,Nearly every day,More than half the days,18,13,High,High
Danny Edwards,cstone@example.net,21,More than half the days,Nearly every day,Not at all,Nearly every day,Several days,Nearly every day,Nearly every day,More than half the days,Nearly every day,More than half the days,Not at all,More than half the days,Not at all,15,19,High,High
Kathleen Fisher,john26@example.org,20,More than half the days,Several days,Nearly every day,Nearly every day,Nearly every day,More than half the days,Not at all,Nearly every day,More than half the days,Nearly every day,Nearly every day,Not at all,Nearly every day,14,12,High,High
Bryan Burns,aduncan@example.org,21,Several days,Several days,Nearly every day,Several days,More than half the days,Nearly every day,Nearly every day,Not at all,Not at all,Nearly every day,Several days,Not at all,More than half the days,14,18,High,High
Douglas Bray,andersonjames@example.org,18,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,20,20,High,High
Michael Sheppard,robert07@example.org,21,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,More than half the days,Not at all,Nearly every day,More than half the days,Several days,19,15,High,High
Tara Cox,kimbilly@example.com,17,Nearly every day,Nearly every day,Not at all,Nearly every day,Nearly every day,Several days,Not at all,Nearly every day,More than half the days,Nearly every day,More than half the days,Not at all,Several days,13,16,High,High
Jason Richardson,scollins@example.com,21,Nearly every day,Nearly every day,Not at all,Not at all,Nearly every day,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Not at all,Nearly every day,12,21,High,High
David Edwards,snyderdouglas@example.com,19,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Not at all,Not at all,21,16,High,High
Joanna Diaz,ryan21@example.com,17,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,Not at all,Not at all,Nearly every day,Nearly every day,More than half the days,Several days,19,11,High,High
Michael Baker,nicolemiranda@example.com,18,Several days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,More than half the days,Nearly every day,Several days,Nearly every day,19,20,High,High
Nathan Ramirez,schmittjodi@example.net,18,Not at all,Nearly every day,More than half the days,More than half the days,Nearly every day,Not at all,Nearly every day,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,13,11,High,High
Joshua Blair,andrew38@example.net,21,Nearly every day,Not at all,Several days,More than half the days,More than half the days,Several days,More than half the days,More than half the days,Not at all,Several days,Nearly every day,Not at all,Not at all,11,18,High,High
Joseph Ayers,david73@example.net,19,More than half the days,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Not at all,Nearly every day,Several days,More than half the days,Not at all,More than half the days,18,16,High,High
Jackson Coffey,brentnelson@example.org,18,Nearly every day,Nearly every day,Several days,More than half the days,More than half the days,Several days,Several days,Not at all,Nearly every day,More than half the days,More than half the days,Not at all,More than half the days,13,15,High,High
Linda Edwards,rtownsend@example.com,17,More than half the days,Nearly every day,More than half the days,Nearly every day,Not at all,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Not at all,More than half the days,15,17,High,High
William Harrison,vaughntheresa@example.org,20,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,More than half the days,Not at all,Not at all,Not at all,Not at all,21,12,High,High
Antonio Walters,cortezbarbara@example.com,21,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,More than half the days,Nearly every day,More than half the days,Not at all,Nearly every day,21,16,High,High
Amy Bradley,sethmedina@example.com,20,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Nearly every day,Not at all,Not at all,Nearly every day,Several days,21,14,High,High
Benjamin Ruiz,caseymorris@example.com,17,Nearly every day,More than half the days,More than half the days,More than half the days,Nearly every day,Several days,Several days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Not at all,Not at all,14,12,High,High
Carla Carrillo,alexander59@example.org,20,More than half the days,More than half the days,More than half the days,Nearly every day,More than half the days,Nearly every day,Not at all,Nearly every day,Not at all,Several days,Nearly every day,Not at all,More than half the days,14,12,High,High
Jason Whitney,lryan@example.net,20,Nearly every day,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Not at all,Several days,Several days,Nearly every day,Nearly every day,18,18,High,High
Carrie Lin,fpayne@example.net,21,Several days,More than half the days,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Several days,Several days,Several days,Several days,Not at all,More than half the days,16,19,High,High
Joshua Kelley,shellychavez@example.org,21,Several days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,More than half the days,More than half the days,Not at all,Not at all,Not at all,18,11,High,High
David Castaneda,washingtonshawn@example.com,18,Nearly every day,More than half the days,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,Several days,Several days,More than half the days,Several days,Not at all,19,13,High,High
Mary Williams,tuckeralbert@example.net,20,Not at all,Several days,Nearly every day,Several days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Not at all,Nearly every day,Not at all,More than half the days,11,11,High,High
Michael Hunter,ckelly@example.com,19,Nearly every day,Nearly every day,Nearly every day,Not at all,Nearly every day,Not at all,Not at all,Not at all,Several days,Nearly every day,Nearly every day,More than half the days,More than half the days,12,12,High,High
Bruce Avila,victoria42@example.org,19,Nearly every day,Not at all,Several days,Several days,Nearly every day,Several days,More than half the days,Nearly every day,Several days,More than half the days,Not at all,More than half the days,Not at all,11,13,High,High
Kelly Brown,dunlapvanessa@example.com,18,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Not at all,Several days,Not at all,More than half the days,Nearly every day,21,18,High,High
Brandon Mendez,johnsonalexander@example.net,20,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Nearly every day,More than half the days,Several days,Not at all,21,17,High,High
Amanda Townsend,benjaminmartin@example.org,17,More than half the days,Several days,Not at all,Nearly every day,More than half the days,More than half the days,Nearly every day,More than half the days,Several days,Not at all,Several days,More than half the days,More than half the days,13,21,High,High
Douglas Stephens,kimberlyray@example.net,18,Several days,Several days,Several days,Nearly every day,Several days,Nearly every day,More than half the days,Nearly every day,Not at all,Nearly every day,Not at all,Several days,Not at all,12,15,High,High
Cameron Duarte,ddoyle@example.net,21,Nearly every day,Nearly every day,Nearly every day,More than half the days,Several days,More than half the days,Not at all,Nearly every day,Nearly every day,Several days,More than half the days,Not at all,Several days,14,17,High,High
Whitney Garcia,duncangeoffrey@example.org,21,Nearly every day,More than half the days,Nearly every day,More than half the days,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,More than half the days,Several days,18,19,High,High
Ariel Rivera,davisdalton@example.net,17,Not at all,Nearly every day,More than half the days,Nearly every day,Not at all,More than half the days,Nearly every day,Not at all,Nearly every day,More than half the days,Nearly every day,Several days,Not at all,13,11,High,High
Isabella Black,williamsadam@example.net,19,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,More than half the days,Several days,Several days,More than half the days,21,11,High,High
Monica Moore,samanthadonovan@example.net,19,More than half the days,More than half the days,More than half the days,Nearly every day,Not at all,More than half the days,Nearly every day,Not at all,Nearly every day,More than half the days,Not at all,More than half the days,Nearly every day,14,21,High,High
Mark Jones,santiagoelizabeth@example.net,20,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Not at all,More than half the days,Not at all,Nearly every day,More than half the days,20,17,High,High
Sara Fox,ohaas@example.com,21,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Not at all,Several days,Not at all,More than half the days,More than half the days,21,15,High,High
Christopher Lewis,toneill@example.com,18,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,Nearly every day,More than half the days,Several days,Several days,Several days,Nearly every day,Several days,19,13,High,High
Brian Wilson,bhardin@example.net,20,More than half the days,Several days,More than half the days,Nearly every day,More than half the days,More than half the days,Not at all,Not at all,Not at all,More than half the days,More than half the days,Not at all,Several days,12,19,High,High
Sarah Wilson,christopher67@example.net,21,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,More than half the days,More than half the days,Not at all,More than half the days,Several days,20,15,High,High
